1027 Budapest, Bem J. tér 2. | önkormányzat
5241 Abádszalók, Kossuth L. út 6/b. | önkormányzati társulás
2118 Dány, Szabadság út 79. | egyéb gazdasági társaság
2317 Szigetcsép, Fő út 50. | egyéb gazdasági társaság
8136 Lajoskomárom, Jókai u. 8. | evangélikus egyház
7030 Paks, Akác u.6. | non-profit szervezet
4262 Nyíracsád, Petőfi tér 4. | önkormányzat
3351 Verpelét, Szabadság tér 6. | önkormányzat
5474 Tiszasas, Fő út 13. | önkormányzat
4737 Kisnamény, Kis u.20. | önkormányzat
1204 Budapest, Akácfa u. 39. | non-profit szervezet
1204 Budapest, Kövező u. 4. | non-profit szervezet
4200 Hajdúszoboszló, Kálvin tér 9. | református egyház
8700 Marcali, Templom u. 4. | alapítvány
8623 Balatonföldvár, Spúr I. u. 6. | non-profit szervezet
8111 Seregélyes-Szőlőhegy,Öreghegy 65/A-B, nincs adat | egyesület
6070 Izsák, Kossuth u.49. | non-profit szervezet
2340 Kiskunlacháza, Móricz Zsigmond u. 36. | egyesület
1106 Budapest, Jászberényi út 82. | egyesület
2094 Nagykovácsi, Nádas u. 3. | alapítvány
6035 Ballószög, V. körzet . 168. | közhasznú alapítvány
1039 Budapest, Batthyány u. 45. | non-profit szervezet
3416 Tard, Nagymajor u. 1. | non-profit szervezet
2370 Dabas, Szt. István út 63. | önkormányzat
6430 Bácsalmás, Dugonics u. 35. | állam
6000 Kecskemét, Szent László város 1. | állam
6454 Bácsborsód, Dózsa Gy. u. 9. | állam
6527 Nagybaracska, Mohácsi u. 6. | állam
4286 Bagamér, Bocskai u. 10, 15. | református egyház
9145 Bágyogszovát, Szabadság u. 79. | önkormányzat
8581 Bakonyjákó, Üttőrő u.7. | non-profit szervezet
6725 Szeged, Harmat u. 2. | katolikus egyház
4233 Balkány, Ságvári u. 33. | katolikus egyház
4060 Balmazújváros, Veres P.u.57. | önkormányzat
4060 Balmazújváros, Kossuth u. 48. | református egyház
7628 Pécs, Barátság u. 18. | egyéb egyház
7624 Pécs, Xavér u. 10. | egyéb egyház
7624 Pécs, Alkotmány u. 77. | egyéb egyház
7636 Pécs, Malomvölgyi u. 21. | egyéb egyház
7570 Barcs, Bajcsy-Zs. u. 32-34. | önkormányzat
2883 Bársonyos, Pervátpuszta 1. | önkormányzat
2730 Albertirsa, Köztársaság u. 129-135. | non-profit szervezet
3900 Szerencs, Bekecsi u. 10. | állam
2071 Páty, Csilla von Boeselager u. 3. | katolikus egyház
5630 Békés, Farkas Gy. u. 2. | állam
5525 Füzesgyarmat, Kossuth u. 86. | állam
5530 Vésztő, Kossuth L.u.192. | állam
5534 Okány, Kastélykert 4. | állam
5931 Nagyszénás, Táncsics u. 3. | állam
3324 Felsőtárkány, Kisfaludy u. 14. | alapítvány
5600 Békéscsaba, Lencsési út 85. | önkormányzat
5600 Békéscsaba, Berényi út 125. | evangélikus egyház
5600 Békéscsaba, Ady E. u. 30-34. | többcélú kistérségi társulás
5600 Békéscsaba, Bartók B.út. 12. | többcélú kistérségi társulás
5600 Békéscsaba, Csaba u. 3. | többcélú kistérségi társulás
5561 Békésszentandrás, Kálvin u. 10. | önkormányzat
3346 Bélapátfalva, Petőfi u. 25. | állam
4231 Bököny, Debreceni út 52-54. | többcélú kistérségi társulás
4968 Túrricse, Zrínyi u. 2. | önkormányzat
6064 Tiszaug, Rákóczi u. 49. | önkormányzat
4836 Lónya, Árpád u. 91. | önkormányzat
7827 Beremend, Gorkij fasor 1-5. | önkormányzat
5420 Túrkeve, Ecsegi út 13. | többcélú kistérségi társulás
5071 Besenyszög, Szabadság tér 3. | többcélú kistérségi társulás
2030 Érd, Gyula u. 39-47. | katolikus egyház
3932 Erdőbénye, Kossuth u. 13. | református egyház
3592 Nemesbikk, Petőfi u. 15. | református egyház
4200 Hajdúszoboszló, Hőforrás u. 105/C | non-profit szervezet
3916 Bodrogkeresztúr, Kastély köz 18. | állam
2072 Zsámbék, Táncsics Mihály u.22. | önkormányzat
2051 Biatorbágy, Boldog Gizella u 1. | alapítvány
5530 Vésztő, Kossuth u.40. | többcélú kistérségi társulás
1138 Budapest, Jakab J. u. 2-4. | önkormányzat
1157 Budapest, Erdőkerülő u. 34. | önkormányzat
1181 Budapest, Kondor Béla sétány 17. | önkormányzat
